driver,rf_importance
satisfaction_level,0.2277471048397934
last_evaluation,0.1150227776476185
number_project,0.13471880918915677
average_montly_hours,0.11861896868542154
work_accident,0.007991059236577648
promotion_last_5years,0.0015688887078197337
tenure_years,0.18322933457473925
early_tenure_flag,0.020078366262822396
high_hours_flag,0.024129073648537558
low_satisfaction_flag,0.07499133368129302
department_IT,0.0018812064539237914
department_RandD,0.0016826757237530811
department_accounting,0.002115708377240083
department_hr,0.002040128999676187
department_management,0.0015656394203364956
department_marketing,0.001421436459893308
department_product_mng,0.0009700072591378784
department_sales,0.004174919893832119
department_support,0.0034215717870979927
department_technical,0.0048658194573535825
salary_high,0.004688346050651775
salary_low,0.006942139488294882
salary_medium,0.004242490237738034
tenure_band_0-2,0.021516968064305447
tenure_band_3-5,0.022189446639304743
tenure_band_6-10,0.008185779213680761
